City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Bethel,US,82.94,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
190,Bathsheba,BB,79.41,light intensity shower rain,13.2167,-59.5167,Atlantis Hotel
191,Shimanovsk,RU,67.41,scattered clouds,52.0,127.7,Гостиница Домашняя
195,Vao,NC,71.17,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
197,Raudeberg,NO,65.07,few clouds,61.9875,5.1352,Nordre Silda.
198,Japura,ID,74.03,few clouds,-0.3167,102.35,Rumah mbah Jamah
201,Wunsiedel,DE,64.42,broken clouds,50.0333,12.0167,SOIBELMANNS Hotel Alexandersbad
202,Ryotsu,JP,80.56,clear sky,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
203,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
204,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
206,Tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
207,Methoni,GR,80.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
209,San Isidro,PE,65.79,overcast clouds,-12.1167,-77.05,Soul Mate-Inn
210,Alushta,UA,77.54,overcast clouds,44.6667,34.4167,Villa Lubimaya
211,Murree,PK,68.25,clear sky,33.9073,73.393,Lockwood Hotel Murree
217,Diamantino,BR,81.81,few clouds,-14.4086,-56.4461,Hotel Delta
218,Verkhoyansk,RU,64.89,broken clouds,67.5447,133.385,
219,Auki,SB,80.38,broken clouds,-8.7676,160.7034,Auki Motel
224,Gwadar,PK,82.45,overcast clouds,25.1216,62.3254,Sadaf Resort
225,Sudak,UA,73.81,scattered clouds,44.85,34.9667,Solari Beach
228,Shelburne,CA,83.26,clear sky,44.0787,-80.2041,The Retreat at the Farm
229,Babu,CN,76.48,clear sky,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
230,Wuwei,CN,72.97,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
232,Kencong,ID,66.61,few clouds,-8.2833,113.3667,GUBUK SUGIANTO
233,Joniskis,LT,65.32,broken clouds,56.2403,23.6153,Audruvis
234,Sept-Iles,CA,66.25,broken clouds,50.2001,-66.3821,Comfort Inn
235,Ambilobe,MG,62.64,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
240,Kieta,PG,80.13,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
241,Myitkyina,MM,74.1,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
242,Vostok,RU,74.46,overcast clouds,46.4856,135.8833,
243,La Ronge,CA,70.02,broken clouds,55.1001,-105.2842,Northland Motor Hotel
245,Jumla,NP,64.96,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
247,Isla Mujeres,MX,84.25,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
249,Nikolskoye,RU,66.09,scattered clouds,59.7035,30.7861,Tourist House - Sablino
250,Shingu,JP,75.9,clear sky,33.7333,135.9833,Shingu UI Hotel
251,Ankpa,NG,69.55,broken clouds,7.3706,7.6253,AA Suites
253,Karratha,AU,67.93,broken clouds,-20.7377,116.8463,ibis Styles Karratha
254,Northam,GB,64.29,scattered clouds,51.0333,-4.2167,Durrant House Hotel
256,Ponta Do Sol,PT,77.0,clear sky,32.6667,-17.1,Hotel do Campo
257,Port Moresby,PG,71.02,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
258,Torbay,CA,60.28,broken clouds,47.6666,-52.7314,Gallows Cove
262,Parabel,RU,60.46,few clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
263,Jacareacanga,BR,84.63,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
264,Sao Jose Da Coroa Grande,BR,74.08,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
266,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
268,Rongcheng,CN,75.85,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
269,Luanda,AO,71.6,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
271,Polis,CY,78.62,clear sky,35.0367,32.4264,Marion
273,Chumikan,RU,67.35,clear sky,54.7183,135.315,Fortuna
274,Cap Malheureux,MU,70.29,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
275,Homa Bay,KE,69.48,scattered clouds,-0.5273,34.4571,ACK Guest House - Homa Bay
276,Marfino,RU,62.85,clear sky,55.7028,37.3822,Nemchinovka-Park
277,Sakata,JP,77.05,scattered clouds,38.9167,139.855,Hotel Rich & Garden Sakata
278,Prince Rupert,CA,62.29,light rain,54.3161,-130.3201,Crest Hotel
280,Guatire,VE,81.1,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
281,Fortuna,US,63.99,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
283,Faanui,PF,78.08,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
285,Hobyo,SO,76.28,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
286,Sarankhola,BD,80.47,overcast clouds,22.3082,89.7897,Md Mostafiz Mir Al Imran's House
288,Zemio,CF,69.01,light rain,5.0314,25.1361,OCHA Office
291,Sao Francisco,BR,69.93,clear sky,-15.9486,-44.8644,Hotel Supremo
293,Vikhorevka,RU,67.59,overcast clouds,56.1201,101.1636,Pansionat Sosnovyye Rodniki
295,Calvia,ES,77.47,clear sky,39.5657,2.5062,Castell Son Claret
297,Sao Filipe,CV,74.26,scattered clouds,14.8961,-24.4956,Hotel Xaguate
301,Fujin,CN,73.98,overcast clouds,47.26,132.0322,Xilong Hotel Fujin Shop
302,Beloha,MG,62.31,broken clouds,-25.1667,45.05,
303,Kijang,KR,80.33,overcast clouds,35.2442,129.2139,Samyang Beach Villa
304,Faya,SA,66.31,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
306,Honiara,SB,80.85,broken clouds,-9.4333,159.95,Heritage Park Hotel
307,Ouadda,CF,68.68,light rain,8.0777,22.4007,
308,Jiaozuo,CN,77.11,overcast clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
309,Nemuro,JP,63.1,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
310,Camacha,PT,73.53,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
311,Meulaboh,ID,76.33,overcast clouds,4.1363,96.1285,Kost Pria
312,Sioux Lookout,CA,80.67,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
313,Ankang,CN,75.65,light rain,32.68,109.0172,安琪酒店
314,Teya,RU,63.57,scattered clouds,60.3778,92.6267,
316,Norman Wells,CA,73.44,scattered clouds,65.282,-126.8329,Heritage Hotel
318,Crevalcore,IT,81.82,broken clouds,44.7206,11.1498,Casa Papi
322,Komsomolskiy,UZ,80.02,clear sky,40.4272,71.7189,Ikathouse
325,Achi,CO,75.49,overcast clouds,8.5682,-74.554,Hotel Sahar
