,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Imbituba,BR,-28.24,-48.6703,67.89,76,92,8.95,overcast clouds
327,Lata,PT,40.1629,-8.3327,70.03,98,66,3.18,broken clouds
328,Karpathos,GR,35.507,27.2132,76.21,84,1,13.09,clear sky
329,Bhatkal,IN,13.9667,74.5667,78.31,88,90,11.81,overcast clouds
330,Payo,ID,-3.7508,103.6372,67.48,84,2,2.82,clear sky
331,Chalons-En-Champagne,FR,48.9539,4.3672,64.98,93,28,7.72,scattered clouds
332,Saint-Joseph,RE,-21.3667,55.6167,66.56,74,38,11.45,scattered clouds
333,Christchurch,NZ,-43.5333,172.6333,54.0,81,75,4.0,broken clouds
334,Bharatpur,IN,27.2167,77.4833,88.23,65,98,4.03,heavy intensity rain
335,Babayurt,RU,43.6002,46.7789,71.62,61,2,6.02,clear sky
336,Oranjestad,AW,12.524,-70.027,85.95,70,20,10.36,few clouds
337,Tungi,BD,23.89,90.4058,84.2,70,75,5.75,haze
338,Porto Novo,BJ,6.4965,2.6036,75.25,79,22,6.82,few clouds
339,Denison,US,33.7557,-96.5367,100.22,44,1,4.0,clear sky
340,Trincomalee,LK,8.5711,81.2335,81.43,77,100,23.22,overcast clouds
341,Vanimo,PG,-2.6741,141.3028,76.39,79,99,6.26,overcast clouds
342,Kytmanovo,RU,53.4593,85.4479,64.2,87,29,6.62,scattered clouds
343,Xiuyan,CN,40.2928,123.2744,71.71,90,91,1.03,overcast clouds
344,Morris,US,40.8334,-74.5329,85.23,74,75,10.36,broken clouds
345,Mount Isa,AU,-20.7333,139.5,51.57,43,9,10.36,clear sky
346,Caravelas,BR,-17.7125,-39.2481,69.78,76,18,7.0,few clouds
347,Hami,CN,42.8,93.45,83.19,21,5,8.77,clear sky
348,Constitucion,CL,-35.3333,-72.4167,51.12,91,20,7.49,few clouds
349,Saint-Paul,RE,-21.0096,55.2707,68.09,79,88,3.38,light rain
