City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Aasiaat,GL,2021-07-25 21:15:39,68.7098,-52.8699,39.78,77,100,11.56
103,Cordoba,AR,2021-07-25 21:13:20,-31.4135,-64.1811,62.76,48,0,3.0
104,Ponta Do Sol,PT,2021-07-25 21:14:31,32.6667,-17.1,77.0,84,0,4.76
105,Castro,BR,2021-07-25 21:15:40,-24.7911,-50.0119,58.91,65,2,4.34
106,Valparaiso,CL,2021-07-25 21:15:05,-33.0393,-71.6273,55.04,90,90,5.75
107,Havoysund,NO,2021-07-25 21:15:40,70.9963,24.6622,45.48,73,100,7.27
108,Gravdal,NO,2021-07-25 21:15:41,68.1214,13.5031,53.42,83,95,7.18
109,Caluquembe,AO,2021-07-25 21:15:41,-13.7833,14.6833,58.21,30,0,1.41
110,Harper,LR,2021-07-25 21:15:42,4.375,-7.7169,75.56,77,23,6.87
111,Praia,CV,2021-07-25 21:15:42,14.9215,-23.5087,77.54,65,40,13.8
112,Gerash,IR,2021-07-25 21:15:43,27.6652,54.1371,84.34,45,10,2.91
113,Dingle,PH,2021-07-25 21:13:39,10.9995,122.6711,77.2,89,33,10.22
114,Rockingham,US,2021-07-25 21:13:43,42.9668,-71.0995,77.04,81,100,1.01
115,Laguna,US,2021-07-25 21:12:04,38.421,-121.4238,106.14,27,1,1.99
116,Coquimbo,CL,2021-07-25 21:15:44,-29.9533,-71.3436,58.73,72,0,9.22
117,Ferkessedougou,CI,2021-07-25 21:15:44,9.6,-5.2,74.46,85,62,3.6
118,Richards Bay,ZA,2021-07-25 21:15:44,-28.783,32.0377,56.86,85,0,6.44
119,Caravelas,BR,2021-07-25 21:15:45,-17.7125,-39.2481,70.05,74,22,7.18
120,Povenets,RU,2021-07-25 21:15:45,62.8487,34.8262,58.8,73,94,4.0
121,Marzuq,YE,2021-07-25 21:15:46,14.4,46.4667,73.38,79,74,7.85
122,Limbazi,LV,2021-07-25 21:15:46,57.5129,24.7194,62.04,75,12,5.19
123,At-Bashi,KG,2021-07-25 21:15:47,41.1702,75.8106,60.46,36,0,1.41
124,Sinnamary,GF,2021-07-25 21:15:47,5.3833,-52.95,80.04,80,74,6.76
125,Bubaque,GW,2021-07-25 21:15:00,11.2833,-15.8333,79.38,81,100,7.58
126,Marsh Harbour,BS,2021-07-25 21:15:48,26.5412,-77.0636,83.46,72,96,10.71
127,Souillac,MU,2021-07-25 21:15:49,-20.5167,57.5167,70.18,60,20,8.05
128,Klaksvik,FO,2021-07-25 21:15:49,62.2266,-6.589,50.92,95,100,8.08
129,Pitimbu,BR,2021-07-25 21:15:50,-7.4706,-34.8086,73.99,84,7,12.88
130,Yarim,YE,2021-07-25 21:15:50,14.298,44.3779,57.36,83,100,6.69
131,Santa Rosa,PH,2021-07-25 21:15:50,14.3122,121.1114,82.11,82,100,16.49
132,Ghaziabad,IN,2021-07-25 21:15:51,28.6667,77.4333,91.38,62,94,7.49
133,Faya,SA,2021-07-25 21:15:51,18.3851,42.4509,66.31,77,100,5.03
134,Anori,BR,2021-07-25 21:15:52,-3.7728,-61.6442,90.0,52,81,1.72
135,Divnomorskoye,RU,2021-07-25 21:15:52,44.5011,38.1353,79.11,56,0,12.95
136,Gornopravdinsk,RU,2021-07-25 21:15:52,60.05,69.9,47.05,68,25,6.38
137,Sistranda,NO,2021-07-25 21:15:53,63.7256,8.834,55.9,92,40,8.01
138,Pisco,PE,2021-07-25 21:14:36,-13.7,-76.2167,65.01,77,20,9.22
139,Moose Factory,CA,2021-07-25 21:15:54,51.2585,-80.6094,60.8,77,20,13.8
140,Pitkyaranta,RU,2021-07-25 21:15:54,61.5734,31.4792,62.64,71,75,4.76
141,Santa Lucia,ES,2021-07-25 21:15:54,27.9117,-15.5407,65.52,60,20,25.32
142,Makushino,RU,2021-07-25 21:15:55,55.2103,67.2442,51.12,66,0,8.34
143,Longyearbyen,SJ,2021-07-25 21:12:46,78.2186,15.6401,44.44,87,75,10.36
144,Juazeiro,BR,2021-07-25 21:15:56,-9.4117,-40.4986,80.78,44,0,9.22
145,Ust-Koksa,RU,2021-07-25 21:15:56,50.2696,85.6108,55.58,90,96,0.72
146,Saint George,US,2021-07-25 21:11:01,37.1041,-113.5841,96.94,32,1,4.0
147,Wattegama,LK,2021-07-25 21:15:57,6.7989,81.4808,76.89,81,100,8.03
148,Bhaderwah,IN,2021-07-25 21:15:57,32.9784,75.7186,72.39,93,100,1.92
149,Camacha,PT,2021-07-25 21:15:58,33.0833,-16.3333,73.53,88,75,10.36
150,Altamira,BR,2021-07-25 21:12:21,-3.2033,-52.2064,84.25,55,91,2.46
151,Porto Novo,BJ,2021-07-25 21:15:58,6.4965,2.6036,75.78,77,13,9.17
152,Algiers,DZ,2021-07-25 21:14:08,36.7525,3.042,76.82,61,40,4.61
153,Belmonte,BR,2021-07-25 21:15:59,-15.8631,-38.8828,68.5,84,75,10.25
154,Niquelandia,BR,2021-07-25 21:16:00,-14.4739,-48.4597,77.47,28,0,4.45
155,Camapua,BR,2021-07-25 21:16:00,-19.5314,-54.0439,83.44,25,0,4.32
156,Masakin,TN,2021-07-25 21:16:01,35.7292,10.5808,89.8,74,0,14.97
157,Bambous Virieux,MU,2021-07-25 21:16:01,-20.3428,57.7575,70.05,60,20,8.05
158,Tsabong,BW,2021-07-25 21:16:02,-26.0217,22.401,48.45,38,75,11.88
159,San Rafael,AR,2021-07-25 21:16:03,-34.6177,-68.3301,56.61,28,0,6.04
160,The Valley,AI,2021-07-25 21:16:04,18.217,-63.0578,82.54,89,75,13.8
161,Namibe,AO,2021-07-25 21:16:04,-15.1961,12.1522,66.36,87,0,5.77
162,Padang,ID,2021-07-25 21:16:05,-0.9492,100.3543,77.45,86,26,3.42
163,Bandarbeyla,SO,2021-07-25 21:16:05,9.4942,50.8122,76.44,78,0,26.66
164,Tiznit,MA,2021-07-25 21:14:29,29.5833,-9.5,79.52,35,0,3.22
165,Keti Bandar,PK,2021-07-25 21:16:06,24.1447,67.4497,82.94,82,100,18.72
166,Boa Vista,BR,2021-07-25 21:16:06,2.8197,-60.6733,85.98,62,75,5.75
167,Durham,US,2021-07-25 21:16:06,36.0335,-78.8664,90.61,64,75,1.99
